year,month,latitude,longitude,sst
2003,1,-24.0,151.0,26.54
2003,1,-24.0,152.0,26.16
2003,1,-24.0,153.0,26.46
2003,1,-24.0,154.0,26.71
2003,1,-23.0,150.0,26.84
2003,1,-23.0,151.0,26.53
2003,1,-23.0,152.0,26.43
2003,1,-23.0,153.0,26.62
2003,1,-23.0,154.0,26.87
2003,1,-22.0,149.0,27.47
2003,1,-22.0,150.0,27.24
2003,1,-22.0,151.0,27.07
2003,1,-22.0,152.0,26.92
2003,1,-22.0,153.0,27.1
2003,1,-22.0,154.0,26.78
2003,1,-21.0,149.0,27.65
2003,1,-21.0,150.0,27.42
2003,1,-21.0,151.0,27.33
2003,1,-21.0,152.0,27.44
2003,1,-21.0,153.0,27.16
2003,1,-21.0,154.0,26.8
2003,1,-20.0,148.0,27.88
2003,1,-20.0,149.0,27.62
2003,1,-20.0,150.0,27.59
2003,1,-20.0,151.0,27.68
2003,1,-20.0,152.0,27.32
2003,1,-20.0,153.0,27.08
2003,1,-20.0,154.0,27.08
2003,1,-19.0,146.0,28.81
2003,1,-19.0,147.0,28.35
2003,1,-19.0,148.0,28.11
2003,1,-19.0,149.0,28.02
2003,1,-19.0,150.0,27.8
2003,1,-19.0,151.0,27.56
2003,1,-19.0,152.0,27.25
2003,1,-19.0,153.0,27.14
2003,1,-19.0,154.0,27.34
2003,1,-18.0,146.0,28.55
2003,1,-18.0,147.0,28.3
2003,1,-18.0,148.0,28.21
2003,1,-18.0,149.0,28.11
2003,1,-18.0,150.0,27.88
2003,1,-18.0,151.0,27.62
2003,1,-18.0,152.0,27.44
2003,1,-18.0,153.0,27.5
2003,1,-18.0,154.0,27.56
2003,1,-17.0,145.0,28.67
2003,1,-17.0,146.0,28.45
2003,1,-17.0,147.0,28.32
2003,1,-17.0,148.0,28.22
2003,1,-17.0,149.0,28.26
2003,1,-17.0,150.0,28.11
2003,1,-17.0,151.0,27.92
2003,1,-17.0,152.0,27.61
2003,1,-17.0,153.0,27.66
2003,1,-17.0,154.0,27.68
2003,1,-16.0,145.0,28.59
2003,1,-16.0,146.0,28.43
2003,1,-16.0,147.0,28.41
2003,1,-16.0,148.0,28.39
2003,1,-16.0,149.0,28.29
2003,1,-16.0,150.0,28.19
2003,1,-16.0,151.0,28.04
2003,1,-16.0,152.0,27.79
2003,1,-16.0,153.0,27.85
2003,1,-16.0,154.0,27.86
2003,1,-15.0,144.0,29.24
2003,1,-15.0,145.0,28.61
2003,1,-15.0,146.0,28.46
2003,1,-15.0,147.0,28.49
2003,1,-15.0,148.0,28.43
2003,1,-15.0,149.0,28.4
2003,1,-15.0,150.0,28.38
2003,1,-15.0,151.0,28.29
2003,1,-15.0,152.0,28.23
2003,1,-15.0,153.0,28.06
2003,1,-15.0,154.0,27.9
2003,1,-14.0,144.0,28.8
2003,1,-14.0,145.0,28.58
2003,1,-14.0,146.0,28.58
2003,1,-14.0,147.0,28.62
2003,1,-14.0,148.0,28.68
2003,1,-14.0,149.0,28.65
2003,1,-14.0,150.0,28.62
2003,1,-14.0,151.0,28.52
2003,1,-14.0,152.0,28.36
2003,1,-14.0,153.0,28.31
2003,1,-14.0,154.0,28.3
2003,1,-13.0,143.0,28.83
2003,1,-13.0,144.0,28.71
2003,1,-13.0,145.0,28.67
2003,1,-13.0,146.0,28.59
2003,1,-13.0,147.0,28.74
2003,1,-13.0,148.0,28.77
2003,1,-13.0,149.0,28.81
2003,1,-13.0,150.0,28.82
2003,1,-13.0,151.0,28.7
2003,1,-13.0,152.0,28.6
2003,1,-13.0,153.0,28.69
2003,1,-13.0,154.0,28.6
2003,1,-12.0,142.0,29.06
2003,1,-12.0,143.0,29.1
2003,1,-12.0,144.0,28.76
2003,1,-12.0,145.0,28.75
2003,1,-12.0,146.0,28.68
2003,1,-12.0,147.0,28.67
2003,1,-12.0,148.0,28.71
2003,1,-12.0,149.0,28.8
2003,1,-12.0,150.0,28.9
2003,1,-12.0,151.0,28.81
2003,1,-12.0,152.0,28.75
2003,1,-12.0,153.0,28.61
2003,1,-12.0,154.0,28.59
2003,1,-11.0,142.0,29.23
2003,1,-11.0,143.0,29.24
2003,1,-11.0,144.0,28.91
2003,1,-11.0,145.0,29.0
2003,1,-11.0,146.0,28.84
2003,1,-11.0,147.0,28.76
2003,1,-11.0,148.0,28.73
2003,1,-11.0,149.0,28.84
2003,1,-11.0,150.0,28.73
2003,1,-11.0,151.0,28.37
2003,1,-11.0,152.0,28.35
2003,1,-11.0,153.0,28.62
2003,1,-11.0,154.0,28.75
2003,1,-10.0,142.0,29.56
2003,1,-10.0,143.0,29.53
2003,1,-10.0,144.0,28.88
2003,1,-10.0,145.0,28.95
2003,1,-10.0,146.0,28.89
2003,1,-10.0,147.0,28.75
2003,1,-10.0,148.0,28.67
2003,1,-10.0,149.0,28.7
2003,1,-10.0,150.0,28.64
2003,1,-10.0,151.0,28.48
2003,1,-10.0,152.0,28.81
2003,1,-10.0,153.0,28.98
2003,1,-10.0,154.0,29.08
2003,1,-9.0,142.0,29.67
2003,1,-9.0,143.0,29.51
2003,1,-9.0,144.0,29.05
2003,1,-9.0,145.0,28.84
2003,1,-9.0,146.0,28.95
2003,1,-9.0,147.0,28.93
2003,1,-9.0,149.0,29.13
2003,1,-9.0,150.0,28.81
2003,1,-9.0,151.0,28.64
2003,1,-9.0,152.0,28.99
2003,1,-9.0,153.0,29.15
2003,1,-9.0,154.0,29.3
2003,2,-24.0,151.0,26.77
2003,2,-24.0,152.0,26.84
2003,2,-24.0,153.0,27.33
2003,2,-24.0,154.0,27.28
2003,2,-23.0,150.0,26.86
2003,2,-23.0,151.0,26.83
2003,2,-23.0,152.0,27.11
2003,2,-23.0,153.0,27.56
2003,2,-23.0,154.0,27.59
2003,2,-22.0,149.0,27.73
2003,2,-22.0,150.0,27.48
2003,2,-22.0,151.0,27.44
2003,2,-22.0,152.0,27.46
2003,2,-22.0,153.0,27.63
2003,2,-22.0,154.0,27.61
2003,2,-21.0,149.0,27.94
2003,2,-21.0,150.0,27.79
2003,2,-21.0,151.0,27.81
2003,2,-21.0,152.0,27.99
2003,2,-21.0,153.0,27.89
2003,2,-21.0,154.0,27.62
2003,2,-20.0,148.0,28.39
2003,2,-20.0,149.0,28.09
2003,2,-20.0,150.0,28.04
2003,2,-20.0,151.0,28.22
2003,2,-20.0,152.0,28.03
2003,2,-20.0,153.0,27.75
2003,2,-20.0,154.0,27.69
2003,2,-19.0,146.0,29.19
2003,2,-19.0,147.0,28.75
2003,2,-19.0,148.0,28.6
2003,2,-19.0,149.0,28.53
2003,2,-19.0,150.0,28.38
2003,2,-19.0,151.0,28.15
2003,2,-19.0,152.0,28.04
2003,2,-19.0,153.0,27.94
2003,2,-19.0,154.0,27.82
2003,2,-18.0,146.0,29.25
2003,2,-18.0,147.0,28.94
2003,2,-18.0,148.0,28.83
2003,2,-18.0,149.0,28.58
2003,2,-18.0,150.0,28.23
2003,2,-18.0,151.0,28.19
2003,2,-18.0,152.0,28.27
2003,2,-18.0,153.0,28.22
2003,2,-18.0,154.0,28.11
2003,2,-17.0,145.0,29.38
2003,2,-17.0,146.0,29.21
2003,2,-17.0,147.0,29.12
2003,2,-17.0,148.0,28.95
2003,2,-17.0,149.0,28.54
2003,2,-17.0,150.0,28.39
2003,2,-17.0,151.0,28.48
2003,2,-17.0,152.0,28.54
2003,2,-17.0,153.0,28.7
2003,2,-17.0,154.0,28.62
2003,2,-16.0,145.0,29.36
2003,2,-16.0,146.0,29.22
2003,2,-16.0,147.0,29.09
2003,2,-16.0,148.0,28.83
2003,2,-16.0,149.0,28.57
2003,2,-16.0,150.0,28.5
2003,2,-16.0,151.0,28.59
2003,2,-16.0,152.0,28.75
2003,2,-16.0,153.0,28.73
2003,2,-16.0,154.0,28.7
2003,2,-15.0,144.0,29.74
2003,2,-15.0,145.0,29.33
2003,2,-15.0,146.0,29.32
2003,2,-15.0,147.0,29.08
2003,2,-15.0,148.0,28.77
2003,2,-15.0,149.0,28.61
2003,2,-15.0,150.0,28.58
2003,2,-15.0,151.0,28.66
2003,2,-15.0,152.0,28.86
2003,2,-15.0,153.0,28.86
2003,2,-15.0,154.0,28.8
2003,2,-14.0,144.0,29.4
2003,2,-14.0,145.0,29.34
2003,2,-14.0,146.0,29.36
2003,2,-14.0,147.0,29.11
2003,2,-14.0,148.0,28.86
2003,2,-14.0,149.0,28.91
2003,2,-14.0,150.0,28.84
2003,2,-14.0,151.0,28.83
2003,2,-14.0,152.0,28.98
2003,2,-14.0,153.0,29.06
2003,2,-14.0,154.0,29.0
2003,2,-13.0,143.0,29.68
2003,2,-13.0,144.0,29.32
2003,2,-13.0,145.0,29.45
2003,2,-13.0,146.0,29.46
2003,2,-13.0,147.0,29.36
2003,2,-13.0,148.0,29.28
2003,2,-13.0,149.0,29.21
2003,2,-13.0,150.0,29.2
2003,2,-13.0,151.0,29.25
2003,2,-13.0,152.0,29.19
2003,2,-13.0,153.0,29.2
2003,2,-13.0,154.0,29.26
2003,2,-12.0,142.0,30.1
2003,2,-12.0,143.0,29.95
2003,2,-12.0,144.0,29.44
2003,2,-12.0,145.0,29.57
2003,2,-12.0,146.0,29.59
2003,2,-12.0,147.0,29.55
2003,2,-12.0,148.0,29.42
2003,2,-12.0,149.0,29.36
2003,2,-12.0,150.0,29.39
2003,2,-12.0,151.0,29.37
2003,2,-12.0,152.0,29.41
2003,2,-12.0,153.0,29.33
2003,2,-12.0,154.0,29.34
2003,2,-11.0,142.0,30.29
2003,2,-11.0,143.0,30.18
2003,2,-11.0,144.0,29.6
2003,2,-11.0,145.0,29.71
2003,2,-11.0,146.0,29.73
2003,2,-11.0,147.0,29.82
2003,2,-11.0,148.0,29.71
2003,2,-11.0,149.0,29.6
2003,2,-11.0,150.0,29.46
2003,2,-11.0,151.0,29.04
2003,2,-11.0,152.0,29.03
2003,2,-11.0,153.0,29.16
2003,2,-11.0,154.0,29.22
2003,2,-10.0,142.0,30.5
2003,2,-10.0,143.0,30.4
2003,2,-10.0,144.0,29.7
2003,2,-10.0,145.0,29.75
2003,2,-10.0,146.0,29.81
2003,2,-10.0,147.0,29.86
2003,2,-10.0,148.0,29.8
2003,2,-10.0,149.0,29.65
2003,2,-10.0,150.0,29.29
2003,2,-10.0,151.0,29.1
2003,2,-10.0,152.0,29.38
2003,2,-10.0,153.0,29.48
2003,2,-10.0,154.0,29.55
2003,2,-9.0,142.0,30.39
2003,2,-9.0,143.0,30.5
2003,2,-9.0,144.0,30.16
2003,2,-9.0,145.0,29.9
2003,2,-9.0,146.0,29.71
2003,2,-9.0,147.0,29.91
2003,2,-9.0,149.0,29.32
2003,2,-9.0,150.0,29.07
2003,2,-9.0,151.0,29.08
2003,2,-9.0,152.0,29.54
2003,2,-9.0,153.0,29.73
2003,2,-9.0,154.0,29.87
2003,3,-24.0,151.0,26.41
2003,3,-24.0,152.0,26.62
2003,3,-24.0,153.0,27.02
2003,3,-24.0,154.0,27.21
2003,3,-23.0,150.0,26.65
2003,3,-23.0,151.0,26.69
2003,3,-23.0,152.0,26.9
2003,3,-23.0,153.0,27.19
2003,3,-23.0,154.0,27.38
2003,3,-22.0,149.0,27.19
2003,3,-22.0,150.0,27.14
2003,3,-22.0,151.0,27.25
2003,3,-22.0,152.0,27.22
2003,3,-22.0,153.0,27.39
2003,3,-22.0,154.0,27.5
2003,3,-21.0,149.0,27.4
2003,3,-21.0,150.0,27.6
2003,3,-21.0,151.0,27.58
2003,3,-21.0,152.0,27.67
2003,3,-21.0,153.0,27.63
2003,3,-21.0,154.0,27.25
2003,3,-20.0,148.0,28.06
2003,3,-20.0,149.0,27.84
2003,3,-20.0,150.0,27.86
2003,3,-20.0,151.0,27.93
2003,3,-20.0,152.0,27.87
2003,3,-20.0,153.0,27.54
2003,3,-20.0,154.0,27.15
2003,3,-19.0,146.0,28.9
2003,3,-19.0,147.0,28.45
2003,3,-19.0,148.0,28.17
2003,3,-19.0,149.0,28.12
2003,3,-19.0,150.0,28.08
2003,3,-19.0,151.0,27.85
2003,3,-19.0,152.0,27.79
2003,3,-19.0,153.0,27.53
2003,3,-19.0,154.0,27.34
2003,3,-18.0,146.0,28.54
2003,3,-18.0,147.0,28.27
2003,3,-18.0,148.0,28.17
2003,3,-18.0,149.0,28.18
2003,3,-18.0,150.0,28.08
2003,3,-18.0,151.0,27.88
2003,3,-18.0,152.0,27.86
2003,3,-18.0,153.0,27.84
2003,3,-18.0,154.0,27.89
2003,3,-17.0,145.0,28.35
2003,3,-17.0,146.0,28.27
2003,3,-17.0,147.0,28.3
2003,3,-17.0,148.0,28.24
2003,3,-17.0,149.0,28.25
2003,3,-17.0,150.0,28.28
2003,3,-17.0,151.0,28.25
2003,3,-17.0,152.0,28.15
2003,3,-17.0,153.0,28.3
2003,3,-17.0,154.0,28.42
2003,3,-16.0,145.0,28.39
2003,3,-16.0,146.0,28.36
2003,3,-16.0,147.0,28.38
2003,3,-16.0,148.0,28.32
2003,3,-16.0,149.0,28.41
2003,3,-16.0,150.0,28.48
2003,3,-16.0,151.0,28.49
2003,3,-16.0,152.0,28.47
2003,3,-16.0,153.0,28.53
2003,3,-16.0,154.0,28.58
2003,3,-15.0,144.0,28.87
2003,3,-15.0,145.0,28.31
2003,3,-15.0,146.0,28.46
2003,3,-15.0,147.0,28.43
2003,3,-15.0,148.0,28.43
2003,3,-15.0,149.0,28.53
2003,3,-15.0,150.0,28.53
2003,3,-15.0,151.0,28.52
2003,3,-15.0,152.0,28.53
2003,3,-15.0,153.0,28.61
2003,3,-15.0,154.0,28.64
2003,3,-14.0,144.0,28.46
2003,3,-14.0,145.0,28.4
2003,3,-14.0,146.0,28.47
2003,3,-14.0,147.0,28.57
2003,3,-14.0,148.0,28.65
2003,3,-14.0,149.0,28.62
2003,3,-14.0,150.0,28.63
2003,3,-14.0,151.0,28.78
2003,3,-14.0,152.0,28.78
2003,3,-14.0,153.0,28.83
2003,3,-14.0,154.0,28.81
2003,3,-13.0,143.0,28.53
2003,3,-13.0,144.0,28.42
2003,3,-13.0,145.0,28.72
2003,3,-13.0,146.0,28.77
2003,3,-13.0,147.0,28.71
2003,3,-13.0,148.0,28.83
2003,3,-13.0,149.0,29.0
2003,3,-13.0,150.0,29.01
2003,3,-13.0,151.0,29.06
2003,3,-13.0,152.0,29.06
2003,3,-13.0,153.0,29.07
2003,3,-13.0,154.0,29.07
2003,3,-12.0,142.0,29.02
2003,3,-12.0,143.0,28.89
2003,3,-12.0,144.0,28.63
2003,3,-12.0,145.0,29.07
2003,3,-12.0,146.0,29.18
2003,3,-12.0,147.0,29.11
2003,3,-12.0,148.0,28.99
2003,3,-12.0,149.0,29.11
2003,3,-12.0,150.0,29.08
2003,3,-12.0,151.0,29.11
2003,3,-12.0,152.0,29.27
2003,3,-12.0,153.0,29.41
2003,3,-12.0,154.0,29.39
2003,3,-11.0,142.0,28.9
2003,3,-11.0,143.0,29.06
2003,3,-11.0,144.0,28.79
2003,3,-11.0,145.0,29.0
2003,3,-11.0,146.0,29.06
2003,3,-11.0,147.0,29.01
2003,3,-11.0,148.0,28.9
2003,3,-11.0,149.0,29.1
2003,3,-11.0,150.0,29.15
2003,3,-11.0,151.0,28.93
2003,3,-11.0,152.0,29.0
2003,3,-11.0,153.0,29.33
2003,3,-11.0,154.0,29.42
2003,3,-10.0,142.0,29.06
2003,3,-10.0,143.0,28.99
2003,3,-10.0,144.0,28.73
2003,3,-10.0,145.0,28.95
2003,3,-10.0,146.0,29.11
2003,3,-10.0,147.0,29.18
2003,3,-10.0,148.0,29.03
2003,3,-10.0,149.0,29.14
2003,3,-10.0,150.0,29.36
2003,3,-10.0,151.0,29.18
2003,3,-10.0,152.0,29.22
2003,3,-10.0,153.0,29.41
2003,3,-10.0,154.0,29.47
2003,3,-9.0,142.0,29.34
2003,3,-9.0,143.0,29.24
2003,3,-9.0,144.0,29.16
2003,3,-9.0,145.0,29.11
2003,3,-9.0,146.0,29.26
2003,3,-9.0,147.0,29.37
2003,3,-9.0,149.0,29.41
2003,3,-9.0,150.0,29.34
2003,3,-9.0,151.0,29.16
2003,3,-9.0,152.0,29.4
2003,3,-9.0,153.0,29.5
2003,3,-9.0,154.0,29.59
2003,4,-24.0,151.0,25.45
2003,4,-24.0,152.0,25.91
2003,4,-24.0,153.0,26.39
2003,4,-24.0,154.0,26.5
2003,4,-23.0,150.0,25.49
2003,4,-23.0,151.0,26.04
2003,4,-23.0,152.0,26.38
2003,4,-23.0,153.0,26.49
2003,4,-23.0,154.0,26.7
2003,4,-22.0,149.0,26.32
2003,4,-22.0,150.0,26.36
2003,4,-22.0,151.0,26.85
2003,4,-22.0,152.0,26.82
2003,4,-22.0,153.0,26.8
2003,4,-22.0,154.0,26.66
2003,4,-21.0,149.0,26.76
2003,4,-21.0,150.0,27.01
2003,4,-21.0,151.0,26.96
2003,4,-21.0,152.0,27.09
2003,4,-21.0,153.0,26.96
2003,4,-21.0,154.0,26.69
2003,4,-20.0,148.0,27.31
2003,4,-20.0,149.0,27.19
2003,4,-20.0,150.0,27.17
2003,4,-20.0,151.0,27.27
2003,4,-20.0,152.0,27.17
2003,4,-20.0,153.0,26.74
2003,4,-20.0,154.0,26.98
2003,4,-19.0,146.0,27.79
2003,4,-19.0,147.0,27.55
2003,4,-19.0,148.0,27.55
2003,4,-19.0,149.0,27.49
2003,4,-19.0,150.0,27.32
2003,4,-19.0,151.0,26.99
2003,4,-19.0,152.0,26.95
2003,4,-19.0,153.0,26.79
2003,4,-19.0,154.0,27.04
2003,4,-18.0,146.0,27.66
2003,4,-18.0,147.0,27.62
2003,4,-18.0,148.0,27.63
2003,4,-18.0,149.0,27.5
2003,4,-18.0,150.0,27.31
2003,4,-18.0,151.0,27.19
2003,4,-18.0,152.0,27.25
2003,4,-18.0,153.0,27.43
2003,4,-18.0,154.0,27.47
2003,4,-17.0,145.0,27.7
2003,4,-17.0,146.0,27.62
2003,4,-17.0,147.0,27.7
2003,4,-17.0,148.0,27.62
2003,4,-17.0,149.0,27.55
2003,4,-17.0,150.0,27.4
2003,4,-17.0,151.0,27.42
2003,4,-17.0,152.0,27.56
2003,4,-17.0,153.0,27.65
2003,4,-17.0,154.0,27.63
2003,4,-16.0,145.0,27.6
2003,4,-16.0,146.0,27.65
2003,4,-16.0,147.0,27.79
2003,4,-16.0,148.0,27.7
2003,4,-16.0,149.0,27.53
2003,4,-16.0,150.0,27.48
2003,4,-16.0,151.0,27.59
2003,4,-16.0,152.0,27.62
2003,4,-16.0,153.0,27.59
2003,4,-16.0,154.0,27.59
2003,4,-15.0,144.0,27.97
2003,4,-15.0,145.0,27.5
2003,4,-15.0,146.0,27.67
2003,4,-15.0,147.0,27.7
2003,4,-15.0,148.0,27.62
2003,4,-15.0,149.0,27.61
2003,4,-15.0,150.0,27.63
2003,4,-15.0,151.0,27.68
2003,4,-15.0,152.0,27.65
2003,4,-15.0,153.0,27.51
2003,4,-15.0,154.0,27.35
2003,4,-14.0,144.0,27.62
2003,4,-14.0,145.0,27.72
2003,4,-14.0,146.0,27.86
2003,4,-14.0,147.0,27.95
2003,4,-14.0,148.0,28.0
2003,4,-14.0,149.0,27.97
2003,4,-14.0,150.0,27.83
2003,4,-14.0,151.0,27.74
2003,4,-14.0,152.0,27.82
2003,4,-14.0,153.0,27.84
2003,4,-14.0,154.0,27.78
2003,4,-13.0,143.0,27.61
2003,4,-13.0,144.0,27.71
2003,4,-13.0,145.0,28.06
2003,4,-13.0,146.0,28.07
2003,4,-13.0,147.0,28.13
2003,4,-13.0,148.0,28.27
2003,4,-13.0,149.0,28.25
2003,4,-13.0,150.0,28.17
2003,4,-13.0,151.0,28.02
2003,4,-13.0,152.0,27.97
2003,4,-13.0,153.0,28.07
2003,4,-13.0,154.0,28.07
2003,4,-12.0,142.0,28.51
2003,4,-12.0,143.0,27.77
2003,4,-12.0,144.0,27.83
2003,4,-12.0,145.0,28.23
2003,4,-12.0,146.0,28.25
2003,4,-12.0,147.0,28.22
2003,4,-12.0,148.0,28.19
2003,4,-12.0,149.0,28.24
2003,4,-12.0,150.0,28.16
2003,4,-12.0,151.0,28.1
2003,4,-12.0,152.0,28.14
2003,4,-12.0,153.0,28.18
2003,4,-12.0,154.0,28.17
2003,4,-11.0,142.0,28.28
2003,4,-11.0,143.0,28.13
2003,4,-11.0,144.0,28.0
2003,4,-11.0,145.0,28.29
2003,4,-11.0,146.0,28.33
2003,4,-11.0,147.0,28.28
2003,4,-11.0,148.0,28.25
2003,4,-11.0,149.0,28.25
2003,4,-11.0,150.0,28.04
2003,4,-11.0,151.0,27.73
2003,4,-11.0,152.0,27.75
2003,4,-11.0,153.0,28.28
2003,4,-11.0,154.0,28.41
2003,4,-10.0,142.0,28.2
2003,4,-10.0,143.0,28.19
2003,4,-10.0,144.0,27.91
2003,4,-10.0,145.0,28.11
2003,4,-10.0,146.0,28.3
2003,4,-10.0,147.0,28.3
2003,4,-10.0,148.0,28.15
2003,4,-10.0,149.0,28.15
2003,4,-10.0,150.0,28.61
2003,4,-10.0,151.0,28.25
2003,4,-10.0,152.0,28.41
2003,4,-10.0,153.0,28.56
2003,4,-10.0,154.0,28.61
2003,4,-9.0,142.0,28.3
2003,4,-9.0,143.0,28.23
2003,4,-9.0,144.0,28.17
2003,4,-9.0,145.0,28.15
2003,4,-9.0,146.0,28.31
2003,4,-9.0,147.0,28.43
2003,4,-9.0,149.0,28.96
2003,4,-9.0,150.0,28.86
2003,4,-9.0,151.0,28.51
2003,4,-9.0,152.0,28.62
2003,4,-9.0,153.0,28.75
2003,4,-9.0,154.0,28.9
2003,5,-24.0,151.0,22.73
2003,5,-24.0,152.0,23.93
2003,5,-24.0,153.0,24.96
2003,5,-24.0,154.0,25.14
2003,5,-23.0,150.0,23.03
2003,5,-23.0,151.0,23.61
2003,5,-23.0,152.0,24.69
2003,5,-23.0,153.0,25.05
2003,5,-23.0,154.0,25.4
2003,5,-22.0,149.0,23.51
2003,5,-22.0,150.0,23.94
2003,5,-22.0,151.0,24.84
2003,5,-22.0,152.0,25.21
2003,5,-22.0,153.0,25.5
2003,5,-22.0,154.0,25.57
2003,5,-21.0,149.0,24.27
2003,5,-21.0,150.0,25.06
2003,5,-21.0,151.0,25.41
2003,5,-21.0,152.0,25.79
2003,5,-21.0,153.0,25.71
2003,5,-21.0,154.0,25.45
2003,5,-20.0,148.0,25.15
2003,5,-20.0,149.0,25.3
2003,5,-20.0,150.0,25.66
2003,5,-20.0,151.0,26.0
2003,5,-20.0,152.0,25.76
2003,5,-20.0,153.0,25.54
2003,5,-20.0,154.0,25.42
2003,5,-19.0,146.0,25.29
2003,5,-19.0,147.0,25.41
2003,5,-19.0,148.0,25.96
